Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,State,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
O00001,2025-09-28,C1045,Vijay Rao,P2376,Dining Table,Furniture,West,Maharashtra,3,10699.32,0.05,30493.06,20128.17,10364.89,Debit Card
O00002,2025-12-10,C0386,Karthik Kumar,P4636,Smartphone,Electronics,East,Odisha,4,46747.7,0.0,186990.8,109489.65,77501.15,Debit Card
O00003,2026-04-21,C0190,Rahul Iyer,P9007,Jeans,Clothing,East,Bihar,4,2440.28,0.0,9761.12,7084.73,2676.39,Net Banking
O00004,2026-01-23,C0242,Meena Verma,P4333,Desk,Furniture,East,Odisha,2,6953.44,0.1,12516.19,8581.56,3934.63,Cash
O00005,2025-07-25,C1026,Ananya Reddy,P6266,Bookshelf,Furniture,North,Punjab,2,7893.15,0.0,15786.3,12347.23,3439.07,Cash
O00006,2025-09-27,C0456,Vijay Verma,P7050,Makeup Kit,Beauty,West,Goa,6,1868.79,0.05,10652.1,6871.92,3780.18,Net Banking
O00007,2025-07-07,C1181,Arun Verma,P1101,T-Shirt,Clothing,North,Delhi,7,935.1,0.05,6218.42,4044.69,2173.73,Debit Card
O00008,2026-02-23,C0231,Meena Verma,P4870,Smartwatch,Electronics,West,Maharashtra,4,15878.1,0.1,57161.16,37692.96,19468.2,Net Banking
O00009,2026-04-07,C0503,Vijay Verma,P3067,Cookware Set,Home & Kitchen,East,West Bengal,7,4450.75,0.0,31155.25,18876.78,12278.47,UPI
O00010,2026-04-30,C1195,Divya Iyer,P4870,Smartwatch,Electronics,South,Telangana,3,13269.17,0.15,33836.38,24695.31,9141.07,UPI
O00011,2025-01-28,C0190,Arun Kumar,P3727,Monitor,Electronics,South,Andhra Pradesh,1,22601.49,0.0,22601.49,15021.32,7580.17,Debit Card
O00012,2026-02-15,C0684,Sneha Reddy,P4870,Smartwatch,Electronics,North,Rajasthan,1,8759.46,0.0,8759.46,5614.29,3145.17,Cash
O00013,2026-01-22,C0952,Arun Kumar,P4636,Smartphone,Electronics,South,Tamil Nadu,2,41625.91,0.0,83251.82,53853.53,29398.29,UPI
O00014,2025-02-22,C0203,Sneha Kumar,P9007,Jeans,Clothing,North,Uttar Pradesh,7,2988.16,0.05,19871.26,16215.38,3655.88,Debit Card
O00015,2025-07-20,C0660,Divya Patel,P9667,Mixer Grinder,Home & Kitchen,South,Telangana,2,5828.6,0.0,11657.2,8566.19,3091.01,Cash
O00016,2026-04-18,C0263,Meena Verma,P0899,Perfume,Beauty,South,Kerala,4,2977.5,0.0,11910.0,7173.92,4736.08,Cash
O00017,2025-01-09,C0816,Rahul Singh,P7291,Jacket,Clothing,South,Karnataka,6,5855.35,0.1,31618.89,18977.46,12641.43,Cash
O00018,2025-09-11,C0099,Ravi Sharma,P7050,Makeup Kit,Beauty,South,Tamil Nadu,6,2740.06,0.1,14796.32,10897.06,3899.26,UPI
O00019,2026-02-02,C1159,Rahul Kumar,P3727,Monitor,Electronics,South,Andhra Pradesh,1,20393.34,0.1,18354.01,13448.35,4905.66,Net Banking
O00020,2025-01-27,C0284,Arun Das,P6266,Bookshelf,Furniture,West,Gujarat,4,9363.3,0.05,35580.54,20844.36,14736.18,UPI
O00021,2025-08-08,C0518,Rahul Verma,P3727,Monitor,Electronics,North,Rajasthan,5,28494.69,0.05,135349.78,109903.64,25446.14,Debit Card
O00022,2025-07-10,C0128,Priya Verma,P7050,Makeup Kit,Beauty,South,Tamil Nadu,2,4251.0,0.1,7651.8,5484.92,2166.88,Credit Card
O00023,2025-06-04,C0785,Sneha Kumar,P9007,Jeans,Clothing,South,Kerala,1,2726.46,0.05,2590.14,1684.79,905.35,Credit Card
O00024,2026-02-12,C0903,Ravi Singh,P9667,Mixer Grinder,Home & Kitchen,East,Odisha,5,3762.78,0.0,18813.9,12703.67,6110.23,Cash
O00025,2025-12-20,C0575,Ananya Rao,P7050,Makeup Kit,Beauty,South,Karnataka,2,718.95,0.0,1437.9,1117.86,320.04,Debit Card
O00026,2025-09-21,C0005,Vijay Singh,P9685,Laptop,Electronics,West,Madhya Pradesh,6,56550.45,0.1,305372.43,216738.82,88633.61,Cash
O00027,2025-04-16,C0120,Rahul Rao,P4636,Smartphone,Electronics,South,Tamil Nadu,7,29790.44,0.0,208533.08,124996.71,83536.37,UPI
O00028,2025-02-27,C0802,Ananya Verma,P1101,T-Shirt,Clothing,East,Bihar,5,719.9,0.2,2879.6,2180.13,699.47,Net Banking
O00029,2025-03-17,C0997,Ananya Verma,P7291,Jacket,Clothing,North,Haryana,5,2403.58,0.0,12017.9,7087.86,4930.04,Cash
O00030,2025-08-06,C0551,Divya Kumar,P4870,Smartwatch,Electronics,West,Maharashtra,6,9224.7,0.05,52580.79,38268.51,14312.28,Net Banking
O00031,2025-08-11,C0442,Arun Nair,P7050,Makeup Kit,Beauty,South,Karnataka,5,3267.46,0.1,14703.57,11858.93,2844.64,Credit Card
O00032,2025-06-09,C0690,Rahul Kumar,P4870,Smartwatch,Electronics,East,Jharkhand,1,15073.66,0.15,12812.61,9356.09,3456.52,UPI
O00033,2025-02-12,C0012,Priya Patel,P0899,Perfume,Beauty,South,Telangana,2,3636.93,0.0,7273.86,4775.68,2498.18,Credit Card
O00034,2025-04-25,C0826,Karthik Sharma,P9007,Jeans,Clothing,South,Andhra Pradesh,5,3335.29,0.0,16676.45,11345.11,5331.34,Net Banking
O00035,2026-04-02,C1123,Divya Sharma,P4636,Smartphone,Electronics,North,Haryana,1,54491.41,0.05,51766.84,41588.53,10178.31,Net Banking
